	Clone size	RGC	dAC	AC	BC	MC	HC	PRs	Unknown	Position
32h clone-42	3	0	0	0	0	0	1	2	0	Temporal
32h clone-43	3	0	0	0	0	0	2	1	0	Temporal
32h clone-44	3	1	0	0	0	0	0	2	0	Temporal
32h clone-45	3	1	0	0	0	0	0	2	0	Temporal
32h clone-46	3	0	1	0	0	0	2	0	0	Temporal
32h clone-47	3	1	0	0	0	0	0	2	0	Temporal
32h clone-48	3	1	0	0	0	0	0	2	0	Temporal
32h clone-49	3	0	0	0	0	0	3	0	0	Temporal
32h clone-50	3	1	0	0	0	0	0	2	0	Temporal
32h clone-51	3	1	0	0	0	0	0	2	0	Temporal
32h clone-52	3	1	0	0	0	0	0	2	0	Temporal
32h clone-53	4	0	0	0	0	0	2	2	0	Nasal
32h clone-54	4	0	0	1	3	0	0	0	0	Nasal
32h clone-55	4	0	0	0	0	0	0	4	0	Nasal
32h clone-56	4	0	0	0	4	0	0	0	0	Nasal
32h clone-57	4	0	0	2	0	0	0	2	0	Nasal
32h clone-58	4	0	0	2	2	0	0	0	0	Temporal
32h clone-59	4	1	2	1	0	0	0	0	0	Temporal
32h clone-60	4	0	0	1	1	0	0	2	0	Temporal
32h clone-61	4	1	0	2	1	0	0	0	0	Temporal
32h clone-62	4	0	0	2	1	0	0	1	0	Temporal
32h clone-63	4	2	1	0	0	0	1	0	0	Temporal
32h clone-64	4	0	0	0	4	0	0	0	0	Temporal
32h clone-65	4	0	0	2	0	0	0	2	0	Temporal
32h clone-66	4	0	0	3	1	0	0	0	0	Temporal
32h clone-67	4	0	0	0	4	0	0	0	0	Temporal
32h clone-68	4	0	0	1	0	0	1	2	0	Temporal
32h clone-69	4	1	0	0	0	0	1	2	0	Temporal
32h clone-70	4	0	0	0	0	0	2	2	0	Temporal
32h clone-71	4	1	0	1	0	0	0	2	0	Temporal
32h clone-72	4	0	1	1	0	0	0	2	0	Temporal
32h clone-73	4	0	0	0	0	0	2	2	0	Temporal
32h clone-74	5	1	0	0	4	0	0	0	0	Nasal
32h clone-75	5	1	0	1	2	0	0	0	1	Nasal
32h clone-76	5	1	0	1	1	0	0	2	0	Nasal
32h clone-77	5	1	0	3	1	0	0	0	0	Nasal
32h clone-78	5	1	0	1	2	1	0	0	0	Nasal
32h clone-79	5	1	0	1	2	1	0	0	0	Nasal
32h clone-80	5	0	0	2	0	0	0	3	0	Nasal
32h clone-81	5	0	1	1	0	0	0	3	0	Nasal
32h clone-82	5	1	1	1	2	0	0	0	0	Nasal
32h clone-83	5	0	0	1	4	0	0	0	0	Nasal
32h clone-84	5	1	1	0	0	0	0	3	0	Temporal
32h clone-85	5	1	1	3	0	0	0	0	0	Temporal
32h clone-86	5	1	0	0	0	0	2	2	0	Temporal
32h clone-87	5	3	0	0	0	0	0	2	0	Temporal
32h clone-88	5	0	0	0	0	0	1	4	0	Temporal
32h clone-89	5	0	2	0	1	0	0	2	0	Temporal
32h clone-90	5	2	0	0	0	0	0	3	0	Temporal
32h clone-91	5	1	0	0	0	0	2	2	0	Temporal
32h clone-92	5	0	0	1	3	0	0	1	0	Temporal
32h clone-93	5	1	0	2	0	0	2	0	0	Temporal
32h clone-94	5	1	0	1	3	0	0	0	0	Temporal
32h clone-95	5	1	0	2	0	0	0	2	0	Temporal
32h clone-96	5	0	0	0	0	0	1	4	0	Temporal
32h clone-97	5	1	0	0	0	0	2	2	0	Temporal
32h clone-98	6	0	0	0	6	0	0	0	0	Nasal
32h clone-99	6	1	0	2	2	1	0	0	0	Nasal
32h clone-100	6	0	1	1	0	0	0	4	0	Temporal
